sample,run,plate,type,gel_band,concentration,reads_total,qPCR_P/N,qPCR_score,average_Ct,qPCR_inhibition,qPCR_degradation
F17,Run 1,1,FERA,Yes,1.20,97683,N,1,41.5,No,No
F180,Run 1,4,FERA,Yes,2.83,24432,N,0,0.0,No,No
F181,Run 1,4,FERA,Yes,22.50,47640,N,0,0.0,No,No
F182,Run 1,4,FERA,No,0.00,31,N,0,0.0,No,No
F183,Run 1,4,FERA,Yes,10.70,49422,N,0,0.0,No,No
F184,Run 1,4,FERA,Yes,13.20,532391,N,0,0.0,No,No
F185,Run 1,4,FERA,No,0.00,29,N,0,0.0,No,No
F186,Run 1,4,FERA,Yes,5.90,50106,N,0,0.0,No,No
F187,Run 1,4,FERA,Yes,27.10,77420,N,0,0.0,No,No
F188,Run 1,4,FERA,Yes,2.34,47665,N,0,0.0,No,No
F189,Run 1,4,FERA,Yes,2.22,48859,N,0,0.0,No,No
F18,Run 1,1,FERA,Yes,5.26,38059,N,1,40.5,No,No
F190,Run 1,4,FERA,Yes,8.00,60861,N,0,0.0,No,No
F191,Run 1,4,FERA,Yes,0.17,44,N,0,0.0,No,Yes
F192,Run 1,4,FERA,Yes,13.00,70752,N,0,0.0,No,No
F193,Run 1,4,FERA,Yes,14.10,65723,N,0,0.0,No,No
F194,Run 1,4,FERA,Yes,15.90,62604,N,0,0.0,No,No
F195,Run 1,4,FERA,Yes,13.40,53526,N,0,0.0,No,No
F196,Run 1,4,FERA,Yes,5.16,40171,N,0,0.0,No,No
F197,Run 1,4,FERA,No,0.00,7,N,0,0.0,No,No
F198,Run 1,4,FERA,Yes,14.20,64200,N,0,0.0,No,No
F199,Run 1,4,FERA,Yes,1.59,44636,N,0,0.0,No,No
F19,Run 1,1,FERA,Yes,20.40,76193,P,5,40.7,No,No
F1,Run 1,1,FERA,Yes,3.07,61764,N,1,41.5,No,No
F200,Run 1,4,FERA,Yes,0.56,19543,N,0,0.0,No,No
F201,Run 1,4,FERA,Yes,13.00,53496,N,0,0.0,No,No
F202,Run 1,4,FERA,Yes,14.60,39495,N,0,0.0,No,No
F203,Run 1,4,FERA,Yes,18.90,60841,N,0,0.0,No,No
F204,Run 1,4,FERA,Yes,3.48,31794,N,0,0.0,No,No
F205,Run 1,4,FERA,Yes,27.50,69071,N,0,0.0,No,No
F206,Run 1,4,FERA,Yes,18.40,48927,N,0,0.0,No,No
