sample,run,plate,type,gel_band,concentration,reads_total,qPCR_P/N,qPCR_score,average_Ct,qPCR_inhibition,qPCR_degradation
F435,Run 2,7,FERA,Yes,0.87,20026,N,0,0.0,No,No
F436,Run 2,7,FERA,Yes,14.60,57561,N,0,0.0,No,No
F437,Run 2,7,FERA,Yes,10.70,47020,N,0,0.0,No,No
F438,Run 2,7,FERA,No,0.00,71,N,0,0.0,No,No
F439,Run 2,7,FERA,Yes,2.23,45103,N,0,0.0,No,No
F43,Run 1,1,FERA,Yes,7.34,63607,N,0,0.0,No,No
F440,Run 2,7,FERA,Yes,7.65,47308,N,0,0.0,No,No
F441,Run 2,7,FERA,Yes,13.70,49261,N,0,0.0,No,No
F442,Run 2,7,FERA,Yes,6.98,49718,N,0,0.0,No,No
F443,Run 2,7,FERA,Yes,6.41,52496,N,0,0.0,No,No
F444,Run 2,7,FERA,No,0.00,82,N,0,0.0,No,No
F445,Run 2,7,FERA,Yes,6.26,42966,N,0,0.0,No,No
F446,Run 2,8,FERA,No,0.00,5,N,0,0.0,No,No
F447,Run 2,8,FERA,Yes,2.91,39596,N,0,0.0,No,No
F448,Run 2,8,FERA,No,0.00,5,N,0,0.0,No,No
F449,Run 2,8,FERA,Yes,0.68,19749,N,0,0.0,No,No
F44,Run 1,1,FERA,Yes,2.33,48018,N,0,0.0,No,Yes
F450,Run 2,8,FERA,Yes,0.00,0,N,0,0.0,No,No
F451,Run 2,8,FERA,Yes,6.79,42355,N,0,0.0,No,No
F452,Run 2,8,FERA,Yes,0.00,1797,N,0,0.0,No,No
F453,Run 2,8,FERA,Yes,4.32,45549,N,0,0.0,No,No
F454,Run 2,8,FERA,No,0.00,5,N,0,0.0,No,No
F455,Run 2,8,FERA,Yes,3.83,46269,N,0,0.0,No,No
F456,Run 2,8,FERA,No,0.00,12,N,0,0.0,No,No
F457,Run 2,8,FERA,Yes,5.58,47051,N,0,0.0,No,No
F458,Run 2,8,FERA,Yes,4.43,55622,N,0,0.0,No,No
F459,Run 2,8,FERA,Yes,3.65,48136,N,0,0.0,No,No
F45,Run 1,1,FERA,Yes,2.06,41434,N,0,0.0,No,No
F460,Run 2,8,FERA,Yes,19.50,60295,N,0,0.0,No,No
F461,Run 2,8,FERA,Yes,18.80,51861,N,0,0.0,No,No
F462,Run 2,8,FERA,Yes,12.60,52094,N,0,0.0,No,No
F463,Run 2,8,FERA,Yes,2.44,41202,N,0,0.0,No,No
F464,Run 2,8,FERA,Yes,3.86,55968,N,0,0.0,No,No
F465,Run 2,8,FERA,Yes,0.00,10090,N,0,0.0,No,Yes
F466,Run 2,8,FERA,Yes,0.71,22744,N,0,0.0,No,No
F467,Run 2,8,FERA,Yes,4.77,41209,N,0,0.0,No,No
F468,Run 2,8,FERA,Yes,20.90,53416,N,0,0.0,No,No
F469,Run 2,8,FERA,Yes,16.40,49153,N,0,0.0,No,No
F46,Run 1,1,FERA,Yes,1.52,39096,N,0,0.0,No,No
F470,Run 2,8,FERA,Yes,23.10,52863,N,0,0.0,No,No
F471,Run 2,8,FERA,No,0.00,16,N,0,0.0,No,No
F472,Run 2,8,FERA,Yes,8.34,45077,N,0,0.0,No,No
F473,Run 2,8,FERA,Yes,2.86,14177,N,0,0.0,No,No
F474,Run 2,8,FERA,No,0.00,19,N,0,0.0,No,No
F475,Run 2,8,FERA,Yes,8.71,39626,N,0,0.0,No,No
F476,Run 2,8,FERA,Yes,9.15,48041,N,0,0.0,No,No
F477,Run 2,8,FERA,Yes,0.00,0,N,0,0.0,No,No
F478,Run 2,8,FERA,Yes,0.85,28357,N,0,0.0,No,No
F479,Run 2,8,FERA,Yes,1.26,82828,N,0,0.0,No,No
F47,Run 1,2,FERA,Yes,17.54,5947,N,0,0.0,No,No
F480,Run 2,8,FERA,Yes,6.47,42187,N,0,0.0,No,No
F481,Run 2,8,FERA,Yes,1.53,37063,N,0,0.0,No,No
F482,Run 2,8,FERA,Yes,8.16,33225,N,0,0.0,No,No
F483,Run 2,8,FERA,Yes,0.13,331945,N,0,0.0,No,No
F484,Run 2,8,FERA,Yes,0.02,41458,N,0,0.0,No,Yes
F485,Run 2,8,FERA,Yes,0.04,103300,N,0,0.0,No,No
F486,Run 2,8,FERA,Yes,0.05,127889,N,0,0.0,No,Yes
F487,Run 2,8,FERA,Yes,0.03,70738,N,0,0.0,No,No
F488,Run 2,8,FERA,Yes,6.82,34151,N,0,0.0,No,No
F489,Run 2,8,FERA,Yes,1.01,23219,N,0,0.0,No,No
F48,Run 1,2,FERA,Yes,4.32,4087,N,0,0.0,No,No
F490,Run 2,8,FERA,Yes,8.47,38998,N,0,0.0,No,No
F491,Run 2,8,FERA,Yes,1.61,34503,N,0,0.0,No,Yes
F492,Run 2,8,FERA,Yes,0.42,7969,N,0,0.0,No,Yes
F493,Run 2,8,FERA,Yes,1.96,35376,N,0,0.0,No,No
F494,Run 2,8,FERA,Yes,9.31,41731,N,0,0.0,No,No
F495,Run 2,8,FERA,Yes,10.30,40877,N,0,0.0,No,No
F496,Run 2,8,FERA,Yes,11.40,37694,N,0,0.0,No,No
F497,Run 2,8,FERA,Yes,2.87,34823,N,0,0.0,No,No
F498,Run 2,8,FERA,Yes,5.70,32001,N,0,0.0,No,No
F499,Run 2,8,FERA,Yes,3.86,41940,N,0,0.0,No,No
F49,Run 1,2,FERA,Yes,1.78,1954,N,0,0.0,No,No
F4,Run 1,1,FERA,Yes,2.66,42771,P,5,42.7,No,No
F500,Run 2,8,FERA,Yes,6.37,42255,N,0,0.0,No,No
F501,Run 2,8,FERA,Yes,4.82,41788,N,0,0.0,No,No
F502,Run 2,8,FERA,Yes,19.30,51394,N,0,0.0,No,No
F503,Run 2,8,FERA,Yes,0.14,4529,N,0,0.0,No,No
F504,Run 2,8,FERA,Yes,3.50,36874,N,0,0.0,No,No
F505,Run 2,8,FERA,Yes,8.73,37599,N,0,0.0,No,No
F506,Run 2,8,FERA,Yes,4.47,44972,N,0,0.0,No,No
F507,Run 2,8,FERA,No,0.00,8,N,0,0.0,No,No
F508,Run 2,8,FERA,Yes,11.60,47046,N,0,0.0,No,No
F50,Run 1,2,FERA,Yes,2.93,4008,N,0,0.0,No,No
F51,Run 1,2,FERA,Yes,3.84,3589,N,0,0.0,No,No
F52,Run 1,2,FERA,Yes,3.44,2610,N,0,0.0,No,No
F53,Run 1,2,FERA,Yes,7.89,4888,N,0,0.0,No,No
F54,Run 1,2,FERA,Yes,1.15,4150,N,0,0.0,No,No
F55,Run 1,2,FERA,No,1.00,61,N,0,0.0,No,No
F56,Run 1,2,FERA,Yes,10.72,6131,N,0,0.0,No,No
F57,Run 1,2,FERA,Yes,9.60,4733,N,0,0.0,No,No
F58,Run 1,2,FERA,Yes,17.36,5258,N,0,0.0,No,No
F59,Run 1,2,FERA,Yes,8.48,4648,N,0,0.0,No,No
F5,Run 1,1,FERA,Yes,3.80,41493,N,1,40.3,No,No
F60,Run 1,2,FERA,Yes,6.01,3685,N,0,0.0,No,No
F61,Run 1,2,FERA,Yes,121.00,2400,N,0,0.0,No,No
F62,Run 1,2,FERA,Yes,61.48,4991,N,0,0.0,No,No
F63,Run 1,2,FERA,Yes,67.43,3881,N,0,0.0,No,No
F64,Run 1,2,FERA,Yes,17.13,4649,N,0,0.0,No,No
F65,Run 1,2,FERA,Yes,18.97,4521,N,0,0.0,No,No
F66,Run 1,2,FERA,Yes,125.00,1751,N,0,0.0,No,No
F67,Run 1,2,FERA,Yes,39.51,5215,N,0,0.0,No,No
F68,Run 1,2,FERA,Yes,16.23,5204,N,0,0.0,No,No
F69,Run 1,2,FERA,Yes,34.27,6191,N,0,0.0,No,No
F6,Run 1,1,FERA,Yes,1.13,9025,P,3,40.3,No,No
F70,Run 1,2,FERA,Yes,42.67,11514,N,0,0.0,No,No
F71,Run 1,2,FERA,Yes,8.66,1515,N,0,0.0,No,No
F72,Run 1,2,FERA,Yes,27.67,5506,N,0,0.0,No,No
F73,Run 1,2,FERA,No,0.76,7,N,0,0.0,No,No
F74,Run 1,2,FERA,Yes,2.29,2173,N,0,0.0,No,No
F75,Run 1,2,FERA,Yes,0.80,17511,N,0,0.0,No,No
F76,Run 1,2,FERA,Yes,0.32,5440,N,0,0.0,No,No
F77,Run 1,2,FERA,Yes,0.64,13372,N,0,0.0,No,No
F78,Run 1,2,FERA,Yes,1.97,37637,N,0,0.0,No,No
F79,Run 1,2,FERA,Yes,1.53,35302,N,0,0.0,No,No
F7,Run 1,1,FERA,Yes,0.60,11177,P,12,35.4,No,No
F80,Run 1,2,FERA,Yes,1.35,27719,N,0,0.0,No,No
F81,Run 1,2,FERA,Yes,0.74,12573,N,0,0.0,No,No
F82,Run 1,2,FERA,Yes,0.47,11026,N,0,0.0,No,No
F83,Run 1,2,FERA,Yes,2.08,39889,N,0,0.0,No,No
F84,Run 1,2,FERA,Yes,0.13,50,N,0,0.0,No,No
F85,Run 1,2,FERA,Yes,0.82,19788,N,0,0.0,No,No
F86,Run 1,2,FERA,Yes,0.63,14374,N,0,0.0,No,No
F87,Run 1,2,FERA,Yes,0.59,9690,N,0,0.0,No,No
F88,Run 1,2,FERA,Yes,0.85,20120,N,0,0.0,No,No
F89,Run 1,2,FERA,Yes,0.67,15139,N,0,0.0,No,No
F8,Run 1,1,FERA,Yes,8.98,51201,P,6,37.3,No,No
F90,Run 1,2,FERA,Yes,0.41,9165,N,0,0.0,No,No
F91,Run 1,2,FERA,Yes,10.20,49606,N,0,0.0,No,No
F92,Run 1,2,FERA,Yes,1.12,23705,N,0,0.0,No,No
F93,Run 1,2,FERA,No,0.16,70,N,0,0.0,No,No
F94,Run 1,2,FERA,Yes,8.08,21487,N,0,0.0,No,Yes
F95,Run 1,2,FERA,Yes,17.10,67490,N,0,0.0,No,No
F96,Run 1,2,FERA,Yes,28.20,70880,N,0,0.0,No,No
F97,Run 1,2,FERA,Yes,13.60,52556,N,0,0.0,No,No
F98,Run 1,2,FERA,Yes,22.50,56018,N,0,0.0,No,No
F99,Run 1,2,FERA,Yes,14.20,54675,P,9,40.4,No,No
F9,Run 1,1,FERA,Yes,34.50,71276,P,7,37.1,No,No
NU10,Run 1,1,Nottingham,Yes,8.78,73777,P,12,NA,No,No
NU11,Run 1,1,Nottingham,Yes,1.21,53839,N,1,NA,No,No
NU12,Run 1,1,Nottingham,Yes,1.42,54980,P,5,NA,No,No
NU13,Run 1,1,Nottingham,Yes,24.30,75967,N,0,NA,No,No
NU14,Run 1,1,Nottingham,Yes,1.69,46644,N,0,NA,No,No
NU15,Run 1,1,Nottingham,Yes,4.54,67684,N,0,NA,No,No
NU16,Run 1,1,Nottingham,Yes,19.50,73004,N,0,NA,No,No
NU17,Run 1,1,Nottingham,Yes,1.96,43834,N,0,NA,No,No
NU18,Run 1,1,Nottingham,Yes,1.54,34331,N,0,NA,No,No
NU19,Run 1,1,Nottingham,Yes,2.62,52923,N,0,NA,No,No
NU1,Run 1,1,Nottingham,Yes,3.64,51152,N,1,NA,No,No
NU20,Run 1,1,Nottingham,No,0.18,32,N,0,NA,No,No
NU21,Run 1,1,Nottingham,Yes,0.84,12911,N,0,NA,No,No
NU22,Run 1,1,Nottingham,Yes,7.16,74301,N,0,NA,No,No
NU23,Run 1,1,Nottingham,Yes,7.56,49676,N,0,NA,No,No
NU24,Run 1,1,Nottingham,Yes,33.00,101910,N,0,NA,No,No
NU2,Run 1,1,Nottingham,Yes,13.30,70427,P,12,NA,No,No
NU3,Run 1,1,Nottingham,Yes,9.58,75580,P,5,NA,No,No
NU4,Run 1,1,Nottingham,Yes,5.51,71407,P,6,NA,No,No
NU5,Run 1,1,Nottingham,Yes,17.00,68137,N,1,NA,No,No
NU6,Run 1,1,Nottingham,Yes,6.09,53982,P,12,NA,No,No
NU7,Run 1,1,Nottingham,Yes,5.10,56846,P,12,NA,No,No
NU8,Run 1,1,Nottingham,No,0.00,158,P,7,NA,No,No
NU9,Run 1,1,Nottingham,Yes,18.40,90829,N,1,NA,No,No
