sample,run,plate,type,gel_band,concentration,reads_total
N13.5,Run 2,6,Negative,No,0,39
N13.6,Run 2,6,Negative,No,0,43
N14.1,Run 2,6,Negative,No,0,28
N14.2,Run 2,6,Negative,No,1.38,654
N14.3,Run 2,6,Negative,No,0.27,24
N14.4,Run 2,7,Negative,No,0.26,11
N14.5,Run 2,7,Negative,No,0.44,470
N14.6,Run 2,7,Negative,No,0.45,26
N15.1,Run 2,7,Negative,No,0,26
N15.2,Run 2,7,Negative,No,0.38,43
N15.3,Run 2,7,Negative,No,0.04,432
N15.4,Run 2,7,Negative,No,0,13
N15.5,Run 2,7,Negative,No,0.53,73
N15.6,Run 2,7,Negative,No,0.15,56
N16.1,Run 2,7,Negative,No,0.01,214
N16.2,Run 2,7,Negative,No,0.12,5
N16.3,Run 2,7,Negative,No,0.38,162
N16.4,Run 2,7,Negative,Yes,1.68,28053
N16.5,Run 2,7,Negative,No,0,584
N16.6,Run 2,7,Negative,Yes,1.46,14989
N17.1,Run 2,7,Negative,No,0,18
N17.2,Run 2,8,Negative,Yes,0,4540
N17.3,Run 2,8,Negative,Yes,0.37,8731
N17.4,Run 2,8,Negative,No,0,11
N17.5,Run 2,8,Negative,Yes,0.12,1330
N17.6,Run 2,8,Negative,No,0.52,9
N18.1,Run 2,8,Negative,No,1.28,16
N18.2,Run 2,8,Negative,No,0.86,35
N18.3,Run 2,8,Negative,No,0.2,325
N18.4,Run 2,8,Negative,No,0.08,26
N18.5,Run 2,8,Negative,No,0.39,0
N18.6,Run 2,8,Negative,No,0.28,0
N19.1,Run 2,8,Negative,No,0.5,317
N19.2,Run 2,8,Negative,No,0.2,153
N19.3,Run 2,8,Negative,No,0.37,0
N19.4,Run 2,8,Negative,No,0.17,0
N19.5,Run 2,8,Negative,No,0.08,183
N19.6,Run 2,8,Negative,No,0.08,7
P10.6,Run 2,5,Positive,Yes,5,44770
P11.1,Run 2,5,Positive,Yes,8.86,36334
P11.2,Run 2,5,Positive,Yes,6.89,24195
P11.3,Run 2,5,Positive,Yes,7.41,38801
P11.4,Run 2,5,Positive,Yes,5,50209
P11.5,Run 2,5,Positive,Yes,5,33054
P11.6,Run 2,6,Positive,Yes,8.28,62027
P12.1,Run 2,6,Positive,Yes,5,41755
P12.2,Run 2,6,Positive,Yes,5,42264
P12.3,Run 2,6,Positive,Yes,5,44025
P12.4,Run 2,6,Positive,Yes,5,41201
P12.5,Run 2,6,Positive,Yes,5,41521
P12.6,Run 2,6,Positive,Yes,5,44419
P13.1,Run 2,6,Positive,Yes,5,45305
