sample,run,plate,type,gel_band,concentration,reads_total,conv_P/N,qPCR_score,average_Ct,qPCR_inhibition,qPCR_degradation,GCNreads,mbNT_GCN
F16,Run 1,1,FERA,Yes,7.31,52444,N,1,40.7,No,No,14,P
F170,Run 1,3,FERA,Yes,4.29,54020,P,12,37.6,No,No,4355,P
F171,Run 1,3,FERA,Yes,3.46,38306,P,7,39.5,No,No,8,P
F172,Run 1,3,FERA,Yes,0.86,18348,N,1,39.6,No,No,0,N
F173,Run 1,3,FERA,Yes,6.81,59065,N,0,0,No,No,0,N
F174,Run 1,3,FERA,Yes,3.45,54218,N,0,0,No,No,0,N
F175,Run 1,3,FERA,Yes,1.08,26823,N,0,0,No,No,0,N
F176,Run 1,3,FERA,No,0,145,N,0,0,No,No,0,N
F177,Run 1,3,FERA,No,0,89,N,0,0,No,No,8,P
F178,Run 1,3,FERA,Yes,1.52,41368,N,0,0,No,No,0,N
F179,Run 1,3,FERA,Yes,5.07,50898,N,0,0,No,No,0,N
F17,Run 1,1,FERA,Yes,1.2,97683,N,1,41.5,No,No,0,N
F180,Run 1,4,FERA,Yes,2.83,24432,N,0,0,No,No,0,N
F181,Run 1,4,FERA,Yes,22.5,47640,N,0,0,No,No,0,N
F182,Run 1,4,FERA,No,0,31,N,0,0,No,No,0,N
F183,Run 1,4,FERA,Yes,10.7,49422,N,0,0,No,No,0,N
F184,Run 1,4,FERA,Yes,13.2,532391,N,0,0,No,No,5,P
F185,Run 1,4,FERA,No,0,29,N,0,0,No,No,0,N
F186,Run 1,4,FERA,Yes,5.9,50106,N,0,0,No,No,0,N
F187,Run 1,4,FERA,Yes,27.1,77420,N,0,0,No,No,0,N
F188,Run 1,4,FERA,Yes,2.34,47665,N,0,0,No,No,0,N
F189,Run 1,4,FERA,Yes,2.22,48859,N,0,0,No,No,0,N
F18,Run 1,1,FERA,Yes,5.26,38059,N,1,40.5,No,No,269,P
F190,Run 1,4,FERA,Yes,8,60861,N,0,0,No,No,0,N
F191,Run 1,4,FERA,Yes,0.17,44,P,0,0,No,Yes,7,P
F192,Run 1,4,FERA,Yes,13,70752,N,0,0,No,No,0,N
F193,Run 1,4,FERA,Yes,14.1,65723,N,0,0,No,No,0,N
F194,Run 1,4,FERA,Yes,15.9,62604,N,0,0,No,No,0,N
F195,Run 1,4,FERA,Yes,13.4,53526,N,0,0,No,No,0,N
F196,Run 1,4,FERA,Yes,5.16,40171,N,0,0,No,No,0,N
F197,Run 1,4,FERA,No,0,7,N,0,0,No,No,0,N
F198,Run 1,4,FERA,Yes,14.2,64200,N,0,0,No,No,5,P
F199,Run 1,4,FERA,Yes,1.59,44636,N,0,0,No,No,0,N
F19,Run 1,1,FERA,Yes,20.4,76193,P,5,40.7,No,No,0,N
F1,Run 1,1,FERA,Yes,3.07,61764,N,1,41.5,No,No,0,N
F200,Run 1,4,FERA,Yes,0.56,19543,N,0,0,No,No,0,N
F201,Run 1,4,FERA,Yes,13,53496,N,0,0,No,No,0,N
F202,Run 1,4,FERA,Yes,14.6,39495,N,0,0,No,No,0,N
F203,Run 1,4,FERA,Yes,18.9,60841,N,0,0,No,No,0,N
F204,Run 1,4,FERA,Yes,3.48,31794,N,0,0,No,No,0,N
F205,Run 1,4,FERA,Yes,27.5,69071,N,0,0,No,No,0,N
F206,Run 1,4,FERA,Yes,18.4,48927,N,0,0,No,No,0,N
F207,Run 1,4,FERA,Yes,41.2,63671,N,0,0,No,No,0,N
F208,Run 1,4,FERA,Yes,8.88,48341,N,0,0,No,No,0,N
F209,Run 1,4,FERA,Yes,15.7,53248,N,0,0,No,No,0,N
F20,Run 1,1,FERA,No,0.22,63,N,12,38,No,No,0,N
F210,Run 1,4,FERA,Yes,17.4,86097,N,0,0,No,No,0,N
F211,Run 1,4,FERA,Yes,21.1,47416,N,0,0,No,No,0,N
F212,Run 1,4,FERA,Yes,2.86,159812,N,0,0,No,No,10,P
F213,Run 1,4,FERA,Yes,5.18,38809,N,0,0,No,No,0,N
F214,Run 1,4,FERA,Yes,18.4,36129,N,0,0,No,No,0,N
F215,Run 1,4,FERA,Yes,5.62,40744,N,0,0,No,No,0,N
F216,Run 1,4,FERA,Yes,18.1,50231,N,0,0,No,No,0,N
F217,Run 1,4,FERA,No,0,16,N,0,0,No,No,0,N
F218,Run 1,4,FERA,Yes,12.1,49295,N,0,0,No,No,0,N
F219,Run 1,4,FERA,Yes,7.84,46740,N,0,0,No,No,0,N
F21,Run 1,1,FERA,Yes,12.2,67454,N,3,40.4,No,No,0,N
F220,Run 1,4,FERA,No,0,206,N,0,0,No,No,0,N
F221,Run 1,4,FERA,Yes,1.09,18000,N,0,0,No,No,0,N
F222,Run 1,4,FERA,Yes,18,53860,N,0,0,No,No,0,N
F223,Run 1,4,FERA,No,0,27,N,0,0,No,No,11,P
F224,Run 1,4,FERA,Yes,12.7,60939,N,0,0,Yes,No,0,N
F225,Run 1,4,FERA,Yes,14.5,51796,N,0,0,No,No,0,N
F226,Run 1,4,FERA,Yes,12.3,78771,N,0,0,No,Yes,5,P
F227,Run 1,4,FERA,Yes,30.1,52840,N,0,0,No,No,0,N
F228,Run 1,4,FERA,Yes,0.47,9034,N,0,0,No,No,0,N
F229,Run 1,4,FERA,Yes,35,98075,N,0,0,No,No,0,N
F22,Run 1,1,FERA,Yes,16.8,47612,N,12,37.3,No,No,7747,P
F230,Run 1,4,FERA,Yes,19.3,61251,N,0,0,No,No,0,N
F231,Run 1,4,FERA,Yes,37.3,80685,N,0,0,No,No,0,N
F232,Run 1,4,FERA,Yes,30.4,53009,N,0,0,No,No,6,P
F233,Run 1,4,FERA,Yes,30.7,91669,N,0,0,No,No,9,P
F234,Run 1,4,FERA,Yes,33.6,84395,N,0,0,No,No,0,N
F235,Run 1,4,FERA,Yes,30.5,76079,N,0,0,No,No,0,N
F236,Run 1,4,FERA,No,0,193,N,0,0,No,No,0,N
F237,Run 1,4,FERA,Yes,6.99,33407,N,0,0,No,No,0,N
F238,Run 1,4,FERA,No,0,122,N,0,0,No,No,0,N
F239,Run 1,4,FERA,Yes,23.2,44758,N,0,0,No,No,0,N
F23,Run 1,1,FERA,Yes,3.08,47782,N,1,41.6,No,No,0,N
F240,Run 1,4,FERA,Yes,5.41,36908,N,0,0,No,No,6,P
F241,Run 1,4,FERA,Yes,20.4,48138,N,0,0,No,No,11,P
F242,Run 1,4,FERA,Yes,3.16,35828,N,0,0,No,No,0,N
F243,Run 2,5,FERA,Yes,5.38,40360,N,4,40.5,No,No,0,N
F244,Run 2,5,FERA,Yes,0.91,17738,N,12,37.8,No,No,12628,P
F245,Run 2,5,FERA,Yes,5.09,43646,P,12,36.6,No,No,8690,P
F246,Run 2,5,FERA,Yes,15.3,46599,N,12,39.4,No,No,648,P
F247,Run 2,5,FERA,Yes,3.04,35425,N,1,41.1,No,No,14,P
F248,Run 2,5,FERA,Yes,20.4,47542,P,2,40.7,No,No,0,N
F249,Run 2,5,FERA,No,0,21,N,2,40.7,No,No,0,N
