KF451804.1,9606
KX211931.1,9597
998452514,9606
KC252392.1,9606
KT749813.1,9606
LC062069.1,10090
930576047,9606
647737363,9615
998452864,9606
KX211933.1,9597
KT749790.1,9606
255365357,9606
37725781,107026
KX232524.1,30521
37725783,8838
393007394,9615
378554575,89337
884535475,77133
513791105,9606
37725789,8845
37725788,219595
90296613,377303
AP010828.1,9606
613845991,77133
606225995,9606
JX910536.1,64550
336089008,1045198
1028330378,9615
KU291038.1,9615
687814779,157167
AY680230.1,30328
444215360,9606
85001881,77133
1028335425,9615
985564420,370360
218686209,77133
724120926,77133
KM313147.1,77133
AY713993.1,9606
AY164523.1,219595
LM703067.1,117903
338797600,909844
576106933,127946
GU947003.1,9901
FJ215032.1,80720
1028335719,9615
KF540737.1,9606
602625005,130902
33305540,164279
614530187,9606
1008412261,77133
KF955011.1,1463496
AF155376.1,71760
998452682,9606
301031223,194544
223009304,9606
381267175,9606
2213678,56281
FN675580.1,8932
586947645,9940
1035438536,90988
301031221,194544
AY164525.1,28680
1021482743,1840107
KF214127.1,635157
90296329,47553
90296328,30328
954166286,1639998
HE961974.1,244518
KJ154352.1,9606
90296322,47554
KJ833586.1,8839
347802653,9945
1870743,57075
668348683,201498
KC466567.1,75854
AC237677.1,9606
224037234,9606
KJ637997.1,8839
1022948074,9606
407912865,77133
189342985,8839
55162857,264695
KU521429.1,9606
936230740,9606
2213672,56278
459664566,30387
358247438,257470
209420863,77133
KU521417.1,9606
209420866,77133
325550940,189295
1022950510,9606
946518612,9913
401785280,163623
295809454,9606
KU650383.1,77133
KU291093.1,9615
902816001,10090
358729913,547489
1042266549,37011
808177860,1643390
291002215,8128
345295590,77133
299891584,171953
37725782,75854
U58922.1,48085
AC241545.2,9606
EF494318.1,77133
KR821135.1,219595
KU521427.1,9606
37725784,75839
356466528,9606
GU947005.1,9901
300806978,77133
642944124,1480062
642944127,69293
642944126,1480063
642944121,1480062
642944120,1480062
642944123,1480062
642944122,1480062
440853445,1211
662020141,219594
62702113,9606
KT726117.1,9606
1022950468,9606
301031203,194544
90296616,377299
KF664603.1,1539424
817597747,8869
954003635,103435
AY222463.1,226889
124487801,9598
1053099129,9606
119035166,9606
30840867,127946
549037314,8049
29372586,77133
1045893040,1874557
213136263,226889
808177916,1643390
669034434,13095
383932774,77133
699361765,351360
219693377,293335
KJ774881.1,8127
FJ882843.1,30331
KX228169.1,9606
530847883,9606
61287501,9606
336088994,630221
906358010,1001925
194303805,8049
606225771,9606
1051608649,9606
27658223,9606
54144448,8996
AB048585.1,9615
KU291091.1,9615
EF452295.2,9606
U04700.1,8319
KF938360.1,469796
EF153831.1,9606
1028335495,9615
751145559,9606
846388253,10090
290775857,8932
557643621,34924
557643620,193059
194303791,8049
1042266437,756884
KJ794189.1,8845
846388259,10090
936230516,9606
KF928796.1,203117
110238757,7962
213136403,8324
238416095,77133
KJ446399.1,9606
169245894,77133
EU009397.1,8839
AB510988.1,77133
282935453,36185
1028333231,9615
1039007036,276763
167782622,77133
LC062054.1,10090
597437642,154535
282935452,700588
401785266,323800
290758055,257846
GQ983089.1,9606
KJ636969.1,1606565
558613890,45639
3170116,48668
AF038468.1,58317
3170114,71765
3170115,71765
1042266325,9597
215882536,9606
13928468,36249
114841177,9606
399531366,1217903
689478313,77133
213136319,8321
403948834,77133
KX702187.1,9606
618625800,933226
806994320,670168
536189361,9606
690019566,174720
407317413,244518
213136081,30375
583829304,9940
7594567,58321
AB239597.1,317925
1098537,9685
926459764,643462
294999474,8869
U83734.1,56281
294999470,8882
294999471,8860
294999472,658919
294999473,184712
148724033,77133
576896723,633558
KU353713.1,756884
346228012,37012
700746418,340692
40254150,9606
304442566,10847
663095638,77133
KT749789.1,9606
189484449,164279
846554638,77133
658158239,1513355
1050868279,670168
2204107,134633
930697173,77133
1051609233,9606
295879666,77133
GU220172.1,194544
KJ718889.1,172905
1050768795,9612
378968490,59861
DQ536427.1,77803
906345462,9925
1008289804,77133
74058569,213853
KU291061.1,9615
AJ630456.1,264695
1028333413,9615
HM753707.1,10847
724105741,77133
304442362,10847
17979892,9606
606233443,9606
530848247,9606
1028332615,9615
988043889,134920
336044134,411917
336089022,1045269
KT726068.1,9606
933501061,1732171
LC062063.1,10090
HM753711.1,10847
159149446,480666
159149447,35523
559767836,80810
KT989569.1,1480062
606225365,9606
KM461699.1,1211648
GU946999.1,9901
KF664629.1,1949207
1028330546,9615
336089064,749191
GQ167883.1,32488
KF359842.1,64547
1041927796,29911
337757361,32644
550823595,9606
961441121,9606
337757366,8932
189484393,164279
58199704,120965
550823511,9606
LC062082.1,10090
KC985164.1,9606
KF938353.1,9940
GU946987.1,9901
160949162,227976
HQ167602.1,886298
17998629,9606
15216348,9606
1003311765,120215
AY633517.1,9606
12003182,59542
EF189653.1,202086
998452850,9606
KU821711.1,8127
KF938351.1,9940
194305211,34871
378554561,59861
GU946989.1,9901
EF189639.1,1897129
1022949194,9606
AY216542.1,36791
KU131353.1,9606
347801477,129228
KJ154323.1,9606
223014624,9606
DQ158464.1,30334
KR059190.1,9925
KT899979.1,1042256
301507122,9606
KU644664.1,9612
1028331708,9615
KP644365.1,8056
299891976,171953
346227956,37012
AY222465.1,8319
1028331036,9615
32891551,9606
KT726143.1,9606
161724997,185735
220937352,156588
