"sample","run","plate","type","gel_band","concentration","reads_total","conv_P.N","qPCR_score","average_Ct","qPCR_inhibition","qPCR_degradation","GCNreads","mbNT_GCN","qPCR_thresh1","qPCR_thresh4","Anas_carolinensis","Anguilla_anguilla","Ardea_cinerea","Arvicola_amphibius","Barbatula_barbatula","Barbus_barbus","Bos_taurus","Bufo_bufo","Buteo_buteo","Canis_lupus","Carassius_carassius","Carduelis_carduelis","Cervus_elaphus","Clupea_harengus","Cottus_gobio","Cyprinus_carpio","Dendrocopos_major","Equus_caballus","Esox_lucius","Felis_catus","Fulica_atra","Gallinula_chloropus","Garrulus_glandarius","Gasterosteus_aculeatus","Gymnocephalus_cernua","Haematopus_ostralegus","Hippolais_polyglotta","Homo_sapiens","Lepus_europaeus","Lissotriton_helveticus","Lissotriton_vulgaris","Lutra_lutra","Meleagris_gallopavo","Meles_meles","Muntiacus_reevesi","Mus_musculus","Mustela_putorius","Myodes_glareolus","Neomys_fodiens","Numida_meleagris","Oncorhynchus_mykiss","Oryctolagus_cuniculus","Ovis_aries","Pelophylax_ridibundus","Phasianus_colchicus","Phoxinus_phoxinus","Picus_viridis","Pipistrellus_pipistrellus","Prunella_modularis","Pungitius_pungitius","Rana_temporaria","Rattus_norvegicus","Rhamphochromis_esox","Rutilus_rutilus","Sciurus_carolinensis","Sitta_europaea","Sorex_araneus","Squalius_cephalus","Strix_aluco","Sturnus_vulgaris","Sus_scrofa","Triturus_cristatus","Vulpes_vulpes","mbTA_GCN"
"F127","Run 1",3,"FERA","Yes",0.18,51734,"N",2,39.9,"No","No",0,"N","P","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,"N"
"F128","Run 1",3,"FERA","No",0.21,61,"N",12,37.9,"No","No",0,"N","P","P",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,"N"
"F129","Run 1",3,"FERA","Yes",5.19,74512,"N",3,41.1,"No","No",1303,"P","P","N",0,0,0,0,0,0,7916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38123,0,0,7312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1796,0,403,0,0,0,0,0,0,0,633,1303,0,"P"
"F13","Run 1",1,"FERA","Yes",0.52,607189,"N",1,39.6,"No","No",0,"N","P","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321984,0,0,0,0,0,0,0,0,0,5078,0,0,"N"
"F130","Run 1",3,"FERA","Yes",7.85,52057,"N",2,42.4,"No","No",0,"N","P","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5444,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,"N"
"F131","Run 1",3,"FERA","Yes",14.8,47764,"N",12,39.7,"No","No",2863,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2041,0,0,0,0,0,699,0,0,0,0,0,0,0,0,22998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,2863,0,"P"
"F132","Run 1",3,"FERA","Yes",32,40835,"N",12,34.4,"No","No",38343,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,38343,0,"P"
"F133","Run 1",3,"FERA","Yes",3.44,31422,"P",3,41,"No","No",0,"N","P","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,68,0,0,0,0,0,11653,0,0,"N"
"F134","Run 1",3,"FERA","Yes",7.94,38422,"N",1,39.9,"No","No",0,"N","P","N",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,24973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"F135","Run 1",3,"FERA","Yes",4.97,48435,"N",1,52,"No","No",6,"P","P","N",0,0,0,0,0,0,36796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,0,0,0,0,0,0,0,435,2876,177,0,0,0,0,0,0,0,0,0,0,"N"
"F136","Run 1",3,"FERA","Yes",8.36,41447,"P",11,39.9,"No","No",0,"N","P","P",0,0,0,0,0,0,33046,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,0,0,0,0,0,0,0,0,2534,0,0,0,0,0,0,0,0,0,0,0,"N"
"F137","Run 1",3,"FERA","Yes",11.5,43372,"N",12,37.6,"No","No",1850,"P","P","P",0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,3436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,27,0,0,0,0,0,0,0,1850,0,"P"
"F138","Run 1",3,"FERA","Yes",15,52202,"N",5,40,"No","No",3427,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164,0,0,0,0,0,18466,0,0,13649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3427,0,"P"
"F139","Run 1",3,"FERA","Yes",0,46239,"N",1,40.5,"No","No",5,"P","P","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15308,0,0,9045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7505,0,0,"N"
"F14","Run 1",1,"FERA","Yes",4.59,54183,"N",12,39.1,"No","No",8461,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9304,0,7,0,0,0,0,0,0,0,0,8461,0,"P"
"F140","Run 1",3,"FERA","Yes",31.5,72,"P",2,40.6,"No","No",0,"N","P","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,"N"
"F141","Run 1",3,"FERA","Yes",9.7,63,"N",1,39.6,"No","No",0,"N","P","N",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"F142","Run 1",3,"FERA","No",0,158,"N",12,36.8,"No","No",6,"P","P","P",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,24,12,0,0,0,0,0,0,0,6,0,"P"
"F143","Run 1",3,"FERA","Yes",27.2,49302,"N",7,40,"No","No",0,"N","P","P",0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,8671,0,0,0,0,0,0,0,0,0,0,0,7971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"F144","Run 1",3,"FERA","Yes",16.3,50101,"N",3,39.9,"No","No",0,"N","P","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,15946,0,0,0,0,1513,0,0,0,0,0,0,0,0,1464,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2737,0,0,"N"
"F145","Run 1",3,"FERA","Yes",23.6,62881,"P",12,37.3,"No","No",5739,"P","P","P",0,215,0,0,0,0,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,490,3885,0,0,0,0,0,36504,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2803,896,485,92,0,0,0,0,0,3256,5739,0,"P"
"F146","Run 1",3,"FERA","Yes",1.63,46760,"N",1,39.4,"No","No",0,"N","P","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25967,0,0,12426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647,1770,0,0,0,0,0,0,74,0,0,"N"
"F147","Run 1",3,"FERA","Yes",14.9,56488,"P",12,37.5,"No","No",3191,"P","P","P",0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3191,0,"P"
"F148","Run 1",3,"FERA","Yes",6.33,42051,"N",9,40.3,"No","No",0,"N","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,0,0,0,0,0,0,0,0,0,0,0,21366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,1728,1286,0,0,0,1190,0,0,0,0,0,"N"
"F149","Run 1",3,"FERA","Yes",10.3,61509,"P",12,35.6,"No","No",45363,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1293,0,0,0,320,0,0,0,45363,0,"P"
"F15","Run 1",1,"FERA","Yes",4.06,42761,"N",12,36.3,"No","No",35611,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35611,0,"P"
"F150","Run 1",3,"FERA","Yes",16.4,64988,"N",1,41.3,"No","No",0,"N","P","N",0,0,0,7,0,0,12624,0,0,0,0,0,0,0,0,0,0,0,1062,0,5619,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,766,0,771,146,0,0,0,0,0,0,0,0,0,"N"
"F151","Run 1",3,"FERA","Yes",3.94,48243,"N",2,40.7,"No","No",0,"N","P","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749,0,3645,1295,0,0,0,3284,0,0,0,0,0,"N"
"F152","Run 1",3,"FERA","Yes",6.9,43329,"N",5,40.4,"No","No",814,"P","P","P",0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,0,0,0,29936,0,16,0,0,0,0,0,0,0,0,814,0,"P"
