SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
F198	12S	SRR6285575	SAMN08011698	PRJNA417951
F199	12S	SRR6285715	SAMN08011699	PRJNA417951
F2	12S	SRR6285714	SAMN08011700	PRJNA417951
F20	12S	SRR6285713	SAMN08011701	PRJNA417951
F200	12S	SRR6285712	SAMN08011702	PRJNA417951
F201	12S	SRR6285719	SAMN08011703	PRJNA417951
F202	12S	SRR6285718	SAMN08011704	PRJNA417951
F203	12S	SRR6285717	SAMN08011705	PRJNA417951
F204	12S	SRR6285716	SAMN08011706	PRJNA417951
F205	12S	SRR6285721	SAMN08011707	PRJNA417951
F206	12S	SRR6285720	SAMN08011708	PRJNA417951
F207	12S	SRR6285330	SAMN08011709	PRJNA417951
F208	12S	SRR6285331	SAMN08011710	PRJNA417951
F209	12S	SRR6285328	SAMN08011711	PRJNA417951
F21	12S	SRR6285329	SAMN08011712	PRJNA417951
F210	12S	SRR6285326	SAMN08011713	PRJNA417951
F211	12S	SRR6285327	SAMN08011714	PRJNA417951
F212	12S	SRR6285324	SAMN08011715	PRJNA417951
F213	12S	SRR6285325	SAMN08011716	PRJNA417951
F214	12S	SRR6285274	SAMN08011717	PRJNA417951
F215	12S	SRR6285323	SAMN08011718	PRJNA417951
F216	12S	SRR6285508	SAMN08011719	PRJNA417951
F217	12S	SRR6285507	SAMN08011720	PRJNA417951
F218	12S	SRR6285510	SAMN08011721	PRJNA417951
F219	12S	SRR6285509	SAMN08011722	PRJNA417951
F22	12S	SRR6285504	SAMN08011723	PRJNA417951
F220	12S	SRR6285503	SAMN08011724	PRJNA417951
F221	12S	SRR6285506	SAMN08011725	PRJNA417951
F222	12S	SRR6285505	SAMN08011726	PRJNA417951
F223	12S	SRR6285500	SAMN08011727	PRJNA417951
F224	12S	SRR6285499	SAMN08011728	PRJNA417951
F225	12S	SRR6285650	SAMN08011729	PRJNA417951
F226	12S	SRR6285651	SAMN08011730	PRJNA417951
F227	12S	SRR6285652	SAMN08011731	PRJNA417951
F228	12S	SRR6285653	SAMN08011732	PRJNA417951
F229	12S	SRR6285654	SAMN08011733	PRJNA417951
F23	12S	SRR6285655	SAMN08011734	PRJNA417951
F230	12S	SRR6285656	SAMN08011735	PRJNA417951
F231	12S	SRR6285657	SAMN08011736	PRJNA417951
F232	12S	SRR6285645	SAMN08011737	PRJNA417951
F233	12S	SRR6285646	SAMN08011738	PRJNA417951
F234	12S	SRR6285869	SAMN08011739	PRJNA417951
F235	12S	SRR6285868	SAMN08011740	PRJNA417951
F236	12S	SRR6285867	SAMN08011741	PRJNA417951
F237	12S	SRR6285866	SAMN08011742	PRJNA417951
F238	12S	SRR6285865	SAMN08011743	PRJNA417951
F239	12S	SRR6285864	SAMN08011744	PRJNA417951
F24	12S	SRR6285863	SAMN08011745	PRJNA417951
F240	12S	SRR6285862	SAMN08011746	PRJNA417951
F241	12S	SRR6285877	SAMN08011747	PRJNA417951
F242	12S	SRR6285876	SAMN08011748	PRJNA417951
F243	12S	SRR6285400	SAMN08011749	PRJNA417951
F244	12S	SRR6285401	SAMN08011750	PRJNA417951
F245	12S	SRR6285398	SAMN08011751	PRJNA417951
F246	12S	SRR6285399	SAMN08011752	PRJNA417951
F247	12S	SRR6285404	SAMN08011753	PRJNA417951
F248	12S	SRR6285405	SAMN08011754	PRJNA417951
F249	12S	SRR6285402	SAMN08011755	PRJNA417951
F25	12S	SRR6285403	SAMN08011756	PRJNA417951
F250	12S	SRR6285408	SAMN08011757	PRJNA417951
F251	12S	SRR6285409	SAMN08011758	PRJNA417951
F252	12S	SRR6285589	SAMN08011759	PRJNA417951
F253	12S	SRR6285588	SAMN08011760	PRJNA417951
